Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
Main Course,DISH0,203.58,90,970,867677.98,Male,98,4,40,8,Delhivery,230.58,FreshFoods India,Kolkata,13,300,9,5570.53,Fail,0.60611,Air,Route A,7583.68
Dessert,DISH1,673.6,40,1433,109861.1,Male,16,9,64,7,Delhivery,944.54,Tandoori Supplies,Delhi,2,54,2,6045.73,Pending,0.590799,Rail,Route C,8158.26
Dessert,DISH2,66.66,69,829,830747.98,Non-binary,63,4,44,8,Blue Dart,261.77,SpiceHub,Delhi,13,271,6,5492.14,Pending,9.145015,Rail,Route A,5113.85
Appetizer,DISH3,284.32,74,973,210220.47,Non-binary,39,1,81,2,Blue Dart,250.24,Local Farmers,Bangalore,8,217,10,1532.68,Pass,0.421167,Rail,Route A,2255.35
Appetizer,DISH4,291.46,37,800,558824.93,Male,34,7,32,4,Blue Dart,619.48,Local Farmers,Delhi,12,78,4,5506.36,Fail,7.513159,Air,Route C,8104.86
Dessert,DISH5,588.68,15,267,626277.88,Unknown,77,6,26,5,Delhivery,740.39,Local Farmers,Hyderabad,3,442,6,3994.74,Fail,9.58951,Rail,Route C,8064.07
Main Course,DISH6,573.89,80,4,421886.63,Unknown,60,2,98,6,Delhivery,722.57,FreshFoods India,Mumbai,2,313,5,2487.54,Pending,6.653364,Air,Route C,6047.79
Beverage,DISH7,425.51,55,1680,55049.73,Female,94,9,95,1,India Post,149.45,Local Farmers,Mumbai,3,395,4,2175.12,Fail,4.486621,Air,Route B,4947.7
Appetizer,DISH8,222.1,12,33,876373.64,Non-binary,76,14,54,5,India Post,720.47,Local Farmers,Chennai,2,73,7,8129.77,Pass,9.970327,Road,Route A,5100.86
Main Course,DISH9,380.53,30,877,365911.66,Male,9,10,97,8,Delhivery,258.89,SpiceHub,Bangalore,14,318,7,9379.34,Pending,0.94932,Air,Route B,1581.31
Beverage,DISH10,628.32,51,1800,482527.46,Unknown,52,14,98,9,Ecom Express,594.99,SpiceHub,Bangalore,9,67,9,8121.13,Pending,9.491897,Rail,Route B,3340.03
Appetizer,DISH11,378.57,81,1610,543622.49,Female,1,8,11,3,India Post,475.31,SpiceHub,Kolkata,4,127,4,9697.11,Fail,2.678314,Air,Route B,7182.01
Appetizer,DISH12,250.26,53,828,756929.46,Male,29,9,55,7,Delhivery,547.0,Local Farmers,Delhi,2,373,12,5355.23,Pass,0.733409,Road,Route A,3455.7
Beverage,DISH13,623.3,16,304,268818.46,Female,80,13,37,9,India Post,535.17,Tandoori Supplies,Mumbai,13,165,10,1269.3,Fail,5.546206,Rail,Route C,9897.39
Dessert,DISH14,387.79,66,980,204368.03,Female,97,8,56,9,Blue Dart,475.3,FreshFoods India,Hyderabad,11,194,11,7971.81,Pass,3.104465,Rail,Route B,9110.62
Dessert,DISH15,176.33,47,490,359519.0,Unknown,2,10,10,6,Blue Dart,836.49,FreshFoods India,Mumbai,1,259,6,7629.22,Pass,8.312071,Air,Route A,7087.93
Dessert,DISH16,138.48,52,1835,543632.91,Non-binary,95,1,68,3,Blue Dart,609.91,Tandoori Supplies,Bangalore,7,256,4,8481.85,Pending,2.022341,Rail,Route C,4955.49
Main Course,DISH17,367.95,19,252,514837.77,Unknown,97,1,25,7,India Post,755.54,SpiceHub,Delhi,9,263,7,4933.65,Fail,7.566757,Rail,Route A,7505.78
Beverage,DISH18,508.81,51,602,100325.13,Non-binary,70,4,94,7,Delhivery,435.35,SpiceHub,Mumbai,4,71,1,2748.37,Pending,3.780144,Road,Route C,7004.5
Beverage,DISH19,641.92,70,340,263643.78,Male,15,6,94,1,Blue Dart,127.09,Local Farmers,Chennai,12,199,11,2347.08,Pass,0.321901,Rail,Route B,4719.35
Dessert,DISH20,461.97,96,376,920819.06,Female,35,10,90,8,Blue Dart,714.09,Local Farmers,Chennai,12,83,11,4250.06,Pass,3.977726,Rail,Route C,8351.12
Appetizer,DISH21,555.57,87,867,620776.2,Unknown,23,7,31,4,Ecom Express,767.84,Tandoori Supplies,Kolkata,2,60,9,5482.2,Pass,5.63499,Air,Route A,7172.36
Beverage,DISH22,159.08,81,1323,100725.28,Male,34,14,86,8,Ecom Express,542.62,Tandoori Supplies,Delhi,6,446,6,4223.13,Pass,2.78112,Air,Route B,5495.78
Dessert,DISH23,53.39,67,307,66353.72,Male,58,11,9,9,Ecom Express,707.08,Local Farmers,Hyderabad,7,314,3,6572.95,Pass,0.53292,Air,Route B,8682.5
Appetizer,DISH24,387.56,84,449,826325.83,Male,14,14,34,2,Ecom Express,721.83,FreshFoods India,Mumbai,5,95,12,5190.24,Fail,3.07426,Air,Route B,9598.97
Main Course,DISH25,181.4,15,730,150913.44,Female,70,13,83,2,Delhivery,427.23,FreshFoods India,Bangalore,1,400,6,8565.23,Pass,6.323981,Road,Route A,1331.87
Beverage,DISH26,164.63,55,310,820670.55,Female,58,10,9,3,Blue Dart,120.86,Tandoori Supplies,Hyderabad,12,67,10,5176.21,Pass,6.714055,Air,Route C,4315.26
Beverage,DISH27,263.14,40,1290,899580.25,Female,87,6,65,2,Blue Dart,466.71,FreshFoods India,Hyderabad,10,37,4,9760.36,Pass,8.754538,Rail,Route B,1489.81
Appetizer,DISH28,172.05,97,659,745621.71,Male,42,10,72,1,Ecom Express,473.38,FreshFoods India,Bangalore,8,25,11,5583.74,Pending,5.095069,Rail,Route C,1443.18
Main Course,DISH29,61.23,67,1868,561876.0,Unknown,23,8,4,3,India Post,128.01,Local Farmers,Delhi,8,473,6,7969.5,Pass,9.374903,Rail,Route B,5056.45
Dessert,DISH30,179.56,86,634,311723.72,Male,42,10,69,4,India Post,362.6,FreshFoods India,Mumbai,9,160,12,5287.48,Pass,4.218791,Road,Route C,7920.87
Appetizer,DISH31,516.9,61,752,817135.76,Unknown,28,11,32,5,Ecom Express,324.5,FreshFoods India,Bangalore,5,178,11,2191.85,Fail,7.011885,Rail,Route B,7886.7
Main Course,DISH32,474.45,39,217,51580.25,Unknown,29,9,4,5,Delhivery,224.88,Local Farmers,Hyderabad,6,50,7,5710.26,Pass,2.335944,Road,Route C,2719.8
Main Course,DISH33,533.64,96,40,322450.49,Female,51,8,62,1,Ecom Express,687.84,Tandoori Supplies,Mumbai,3,419,9,3853.11,Fail,3.943615,Air,Route B,9058.75
Appetizer,DISH34,179.63,69,155,950631.91,Female,86,5,28,1,Ecom Express,582.38,Tandoori Supplies,Hyderabad,2,46,10,5959.38,Fail,2.690204,Air,Route B,7057.9
Appetizer,DISH35,443.05,24,1058,380666.73,Female,48,1,14,8,Blue Dart,622.54,FreshFoods India,Mumbai,1,263,14,6178.33,Pending,4.467656,Road,Route B,9825.21
Beverage,DISH36,391.4,78,1554,964532.98,Unknown,23,1,25,8,India Post,143.1,Tandoori Supplies,Bangalore,9,25,5,9379.16,Pending,9.92968,Rail,Route A,8028.65
Dessert,DISH37,477.1,75,706,129023.04,Non-binary,96,9,74,4,Ecom Express,767.92,SpiceHub,Chennai,10,74,4,3559.15,Fail,5.023822,Air,Route B,5196.07
Beverage,DISH38,105.84,66,557,513449.07,Female,63,11,69,5,Ecom Express,670.49,FreshFoods India,Kolkata,6,297,4,1409.21,Fail,3.235614,Road,Route C,6680.82
Beverage,DISH39,386.07,24,1987,591861.59,Male,13,14,95,6,Blue Dart,464.5,Tandoori Supplies,Mumbai,6,47,14,6464.08,Pending,5.113128,Air,Route B,9976.82
Appetizer,DISH40,266.34,37,997,855074.56,Non-binary,39,11,15,4,India Post,595.28,FreshFoods India,Chennai,6,264,4,8916.85,Pass,3.547016,Rail,Route B,4723.01
Dessert,DISH41,665.2,19,1409,381646.79,Non-binary,42,11,76,6,India Post,189.55,FreshFoods India,Chennai,5,140,13,5880.11,Pass,9.390774,Rail,Route C,5783.44
Main Course,DISH42,764.31,96,1823,546203.41,Non-binary,89,5,1,8,Blue Dart,746.53,Local Farmers,Bangalore,9,30,10,7440.01,Pending,1.971304,Road,Route A,6343.85
